name,facing,district,building_year,price_range,transport_rating,amenities_score,has_sea_view,has_mountain_view,school_net,developer,management,layout_diversity,transaction_volume,rental_yield,price_trend,future_supply_pressure,description
太古城,子山午向,東區,1985,15000-20000,5,90,True,False,14,太古,太古城管理,高,高,3.5,stable,低,大型私人屋苑
康怡花園,子山午向,鰂魚涌,1985,13000-18000,5,88,False,False,14,協和,康怡管理,高,高,3.3,stable,低,鰂魚涌大型屋苑
鯉景灣,子山午向,西灣河,1988,12000-16000,4,85,True,False,16,太古,鯉景管理,高,高,3.4,stable,低,西灣河臨海屋苑
筲箕灣廣場,午山子向,筲箕灣,1992,10000-14000,5,80,False,False,16,新鴻基,筲箕灣管理,中,中,3.3,stable,低,筲箕灣私人屋苑
樂軒臺,午山子向,跑馬地,1993,18000-25000,4,82,False,False,12,恒基,樂軒管理,中,低,3.0,stable,低,跑馬地私人屋苑
港運城,午山子向,北角,1996,13000-18000,5,85,False,False,14,太古,港運城管理,高,高,3.2,stable,低,北角大型屋苑
城市花園,午山子向,北角,1984,12000-16000,5,84,False,False,14,長江,城市管理,高,高,3.3,stable,低,北角大型屋苑
黃埔花園,午山子向,紅磡,1986,11000-15000,5,85,False,False,35,和黃,黃埔管理,高,高,3.4,stable,低,紅磡大型屋苑
維港灣,子山午向,奧運站,2000,12000-16000,5,86,True,False,31,信和,維港管理,高,高,3.2,stable,低,奧運站臨海屋苑
柏景灣,子山午向,奧運站,2001,13000-17000,5,87,True,False,31,太古,柏景管理,高,高,3.1,stable,低,奧運站臨海屋苑
帝柏海灣,子山午向,奧運站,2003,14000-18000,5,88,True,False,31,信和,帝柏管理,高,高,3.0,stable,低,奧運站臨海屋苑
君匯港,子山午向,奧運站,2007,15000-20000,5,89,True,False,31,恒基,君匯管理,高,中,3.0,stable,低,奧運站臨海屋苑
浪澄灣,子山午向,奧運站,2006,14000-19000,5,88,True,False,31,恒基,浪澄管理,高,中,3.1,stable,低,奧運站臨海屋苑
一號銀海,子山午向,大角咀,2006,18000-24000,5,90,True,False,31,信和,一號銀海管理,高,中,2.9,stable,低,大角咀豪宅
海桃灣,子山午向,大角咀,2005,12000-16000,4,82,True,False,31,南豐,海桃管理,中,中,3.2,stable,低,大角咀臨海屋苑
港灣豪庭,子山午向,大角咀,2003,10000-14000,4,80,True,False,31,恒基,港灣管理,中,高,3.3,stable,低,大角咀臨海屋苑
天璽,子山午向,尖沙咀,2009,25000-35000,5,92,True,False,31,新鴻基,天璽管理,高,中,2.8,stable,低,尖沙咀豪宅
愛海頌,子山午向,長沙灣,2020,13000-18000,4,82,True,False,40,長江,愛海頌管理,中,中,3.0,rising,低,長沙灣新盤
尚翠苑,子山午向,荃灣,2017,9000-12000,4,75,False,False,62,房委會,尚翠苑管理,中,中,3.5,stable,低,荃灣居屋
萬景峯,卯山酉向,荃灣,2007,12000-16000,4,82,False,False,62,信和,萬景峯管理,高,中,3.2,stable,低,荃灣西私人屋苑
麗城花園,午山子向,荃灣,1988,8000-12000,4,75,False,False,62,長江,麗城管理,中,高,3.6,stable,低,荃灣西大型屋苑
灝景灣,丑山未向,青衣,1998,8000-12000,4,78,True,False,66,長江,灝景灣管理,中,中,3.5,stable,低,青衣臨海屋苑
愉景新城,午山子向,荃灣,1997,8000-12000,4,78,False,False,62,新世界,愉景管理,中,中,3.4,stable,低,荃灣大型屋苑
柏豐花園,卯山酉向,荃灣,2000,8000-12000,4,76,False,False,62,新鴻基,柏豐管理,中,中,3.5,stable,低,荃灣私人屋苑
荃灣中心,卯山酉向,荃灣,1982,7000-10000,4,75,False,False,62,新鴻基,荃灣中心管理,高,高,3.6,stable,低,荃灣大型屋苑
荃威花園,卯山酉向,荃灣,1978,6000-9000,4,70,False,False,62,新鴻基,荃威管理,高,高,3.7,stable,低,荃灣大型屋苑
海灣花園,卯山酉向,荃灣,1990,7000-10000,4,75,False,True,62,長江,海灣管理,中,中,3.5,stable,低,荃灣私人屋苑
翠豐臺,卯山酉向,荃灣,2003,8000-12000,4,78,False,False,62,恆大,翠豐管理,中,中,3.4,stable,低,荃灣私人屋苑
YOHO Town,卯山酉向,元朗,2005,12000-16000,5,85,False,False,74,新鴻基,YOHO管理,高,高,3.2,rising,低,元朗站頂屋苑
蝶翠峰,卯山酉向,元朗,2007,9000-13000,3,76,False,False,74,新鴻基,蝶翠管理,中,中,3.3,stable,低,元朗私人屋苑
世宙,卯山酉向,元朗,2016,10000-14000,4,80,False,False,74,長江,世宙管理,中,中,3.2,stable,低,元朗站頂屋苑
YOHOMidtown,卯山酉向,元朗,2010,11000-15000,5,85,False,False,74,新鴻基,YOHO管理,高,高,3.1,stable,低,元朗大型屋苑
溱柏,卯山酉向,元朗,2013,9000-13000,3,75,False,False,74,新世界,溱柏管理,中,中,3.3,stable,低,元朗私人屋苑
朗晴居,卯山酉向,元朗,2004,8000-12000,4,78,False,False,74,新鴻基,朗晴管理,中,中,3.4,stable,低,元朗私人屋苑
采葉庭,卯山酉向,元朗,2001,7000-11000,4,76,False,False,74,恆大,采葉管理,中,中,3.5,stable,低,元朗私人屋苑
尚悅,卯山酉向,元朗,2013,9000-13000,4,78,False,False,74,新鴻基,尚悅管理,中,中,3.2,stable,低,元朗私人屋苑
